GEOID,Total_Population,Median_Household_Income,Pct_White,Pct_Black,Pct_Hispanic,Pct_Poverty,Pct_Bachelors_Plus
060371192021,611.0,82661.0,18.99,0.0,91.16,1.8,35.51
060371192022,1639.0,74177.0,39.17,0.0,84.87,34.72,4.68
060371192023,2424.0,76599.0,17.99,0.17,93.52,9.16,4.25
060371193101,1887.0,45466.0,20.61,8.53,49.5,15.1,32.0
060371193102,1880.0,96739.0,29.15,0.0,62.82,4.11,16.34
060371193201,1773.0,59655.0,25.44,5.81,65.99,17.48,15.45
060371193202,1384.0,91667.0,5.42,1.3,90.75,18.71,21.68
060371193203,1135.0,90208.0,10.75,3.52,59.56,11.98,15.91
060371193401,1748.0,44353.0,8.81,1.32,93.99,38.49,4.25
060371193402,2000.0,47644.0,12.55,4.75,88.5,28.75,9.05
060371193411,2744.0,53623.0,10.6,2.55,65.52,16.33,22.68
060371193421,1640.0,81458.0,22.87,0.24,61.28,6.98,25.31
060371193422,1151.0,66563.0,7.3,1.82,89.31,17.72,12.42
060371194001,1173.0,71250.0,22.08,0.0,96.68,25.83,9.53
060371194002,1489.0,97708.0,39.29,0.0,84.02,3.9,6.69
060371194003,1988.0,120125.0,23.34,3.27,67.0,4.68,18.17
060371197001,1791.0,81705.0,49.3,0.0,38.14,3.25,44.65
060371197002,1078.0,145556.0,7.61,0.0,12.99,6.49,28.2
060371197003,1545.0,94167.0,21.49,0.0,71.97,2.02,28.23
060371198011,1335.0,123578.0,6.37,0.0,71.84,5.39,18.36
060371198012,1367.0,80179.0,34.53,0.07,81.64,21.88,19.64
060371198021,1739.0,81750.0,22.71,0.75,83.09,17.07,11.46
060371198022,1355.0,108452.0,19.41,2.66,70.04,13.86,4.35
060371199001,1135.0,96389.0,48.37,0.0,81.23,5.2,9.26
060371199002,1973.0,83529.0,16.07,0.61,87.33,1.06,13.61
060371199003,1395.0,87569.0,10.39,3.94,71.33,2.77,24.73
060371200101,1766.0,57721.0,7.02,1.59,86.75,18.68,13.14
060371200102,877.0,100625.0,13.0,0.91,76.4,4.33,22.06
060371200201,2069.0,51761.0,26.34,0.0,78.64,20.92,21.93
060371200202,1904.0,31742.0,6.51,5.51,50.37,23.1,25.44
060371200301,2576.0,48281.0,13.43,0.62,82.26,30.39,21.2
060371201031,833.0,34107.0,3.72,4.44,87.64,36.85,11.43
060371201032,2046.0,49146.0,10.02,2.15,95.75,34.02,6.36
060371201041,2603.0,52198.0,12.52,7.49,59.85,22.21,28.6
060371201051,1639.0,50250.0,12.32,1.71,91.4,26.91,12.1
060371201052,1116.0,47661.0,14.07,0.72,59.68,7.97,23.0
060371201061,1150.0,44423.0,8.96,1.13,83.22,24.35,6.7
060371201062,1276.0,41576.0,5.96,0.24,86.05,31.97,13.47
060371201063,1856.0,35677.0,3.61,0.32,81.47,39.83,13.19
060371201071,1743.0,47938.0,6.43,2.12,94.43,19.74,1.43
060371201072,2387.0,39375.0,7.04,5.28,80.23,46.29,11.07
060371201081,2102.0,54348.0,21.74,2.05,75.5,27.08,17.62
060371201082,2456.0,59211.0,10.67,0.98,68.85,23.23,19.85
060371203001,846.0,55484.0,51.65,0.0,26.12,9.2,24.39
060371203002,1697.0,72500.0,21.86,0.0,68.3,21.51,19.6
060371203003,1240.0,65125.0,35.32,0.0,54.27,30.37,17.34
060371203004,1686.0,53445.0,2.43,15.12,25.03,7.71,34.06
060371204001,2418.0,35940.0,31.97,7.2,49.05,19.45,13.37
060371204002,1978.0,78750.0,34.73,3.29,56.32,21.33,15.2
060371204003,1424.0,98799.0,29.07,1.26,64.47,1.69,31.5
060371210101,847.0,75450.0,75.91,0.0,29.4,8.15,20.88
060371210102,1422.0,96250.0,40.15,0.07,75.67,19.22,16.41
060371210103,848.0,71204.0,41.63,0.0,68.87,4.13,10.93
